bairro,zona,area,quartos,aluguel
Jardim Monte Kemel ,-oeste,70,2,2400
Jardim Monte Kemel ,-oeste,40,1,1260
Jardim Monte Kemel ,-oeste,230,4,7716
Jardim Monte Kemel ,-oeste,208,5,7000
Jardim Monte Kemel ,-oeste,230,4,9216
Jardim Monte Kemel ,-oeste,230,4,7516
Jardim Monte Kemel ,-oeste,50,2,1370
Jardim Monte Kemel ,-oeste,10,3,6500
Jardim Monte Kemel ,-oeste,40,1,6500
Jardim Monte Kemel ,-oeste,55,1,8000
Jardim Monte Kemel ,-oeste,50,1,1260
Jardim Monte Kemel ,-oeste,50,2,1100
Jardim Monte Kemel ,-oeste,40,1,1300
Jardim Monte Kemel ,-oeste,150,3,1370
Jardim Monte Kemel ,-oeste,50,1,950
Jardim Monte Kemel ,-oeste,155,3,2500
Jardim Monte Kemel ,-oeste,90,,800
Jardim Monte Kemel ,-oeste,250,2,2500
City América ,-oeste,350,3,9050
City América ,-oeste,60,3,3000
City América ,-oeste,378,4,9000
City América ,-oeste,180,3,15000
City América ,-oeste,120,2,3500
City América ,-oeste,420,4,4700
City América ,-oeste,390,4,7500
City América ,-oeste,500,4,8000
City América ,-oeste,390,4,9000
City América ,-oeste,450,4,8900
City América ,-oeste,395,4,9000
City América ,-oeste,495,4,8000
City América ,-oeste,400,4,4700
City América ,-oeste,1100,5,6000
City América ,-oeste,400,4,8600
City América ,-oeste,150,3,3100
City América ,-oeste,625,4,10000
City América ,-oeste,650,4,7000
City América ,-oeste,310,4,7500
City América ,-oeste,573,5,7000
City América ,-oeste,573,5,7000
Moóca ,-leste,300,2,8000
Moóca ,-leste,60,1,1200
Moóca ,-leste,110,2,2200
Moóca ,-leste,160,,5000
Moóca ,-leste,110,3,2300
Moóca ,-leste,176,3,2600
Moóca ,-leste,235,4,4350
Moóca ,-leste,85,2,2300
Moóca ,-leste,264,3,4000
Moóca ,-leste,140,3,2150
